question,answer
hi,😊 வணக்கம்! நான் உங்கள் விவசாய உதவியாளர். என்ன உதவி வேண்டும்?
hello,😊 வணக்கம்! விவசாயம் பற்றி எதாவது கேளுங்கள்.
hai,😊 வணக்கம்! உங்களுக்கு எப்படி உதவலாம்?
vanakkam,🙏 வணக்கம்! உங்கள் சந்தேகத்தை சொல்லுங்கள்.
thanks,🙏 நன்றி! இன்னும் கேள்விகள் இருந்தால் கேளுங்கள்.
thank you,😊 மகிழ்ச்சி! மீண்டும் கேளுங்கள்.
sorry,🙂 பரவாயில்லை! தொடர்ந்து கேளுங்கள்.
ok,👍 சரி! இன்னும் உதவி வேண்டுமா?
bye,👋 நன்றி! நல்ல விவசாயம் செய்ய வாழ்த்துகள்.
red soil,"🌱 Red soil-க்கு தக்காளி, மிளகாய், நிலக்கடலை, கேரட் நன்றாக வளரும்."
black soil,"🌾 Black soil-க்கு நெல், கரும்பு, பருத்தி நன்றாக வளரும்."
sandy soil,"🌿 Sandy soil-க்கு தர்பூசணி, நிலக்கடலை, வெள்ளரி ஏற்றது."
clay soil,🌾 Clay soil-க்கு நெல் மற்றும் கோரை பயிர்கள் ஏற்றது.
what crop for red soil,"🌱 Red soil-ல் தக்காளி, மிளகாய், நிலக்கடலை பயிரிடலாம்."
what crop for black soil,"🌾 Black soil-ல் நெல், கரும்பு, பருத்தி சிறந்தது."
leaf black dots,🍃 இலைகளில் கருப்பு புள்ளிகள் இருந்தால் கோமியம் அல்லது வேப்பெண்ணை தெளிக்கவும்.
yellow leaves,🍂 இலை மஞ்சளாக இருந்தால் நைட்ரஜன் குறைவு இருக்கலாம்; மாட்டுச் சாணம் போடவும்.
leaf curling,🍃 இலை சுருண்டால் வேப்பெண்ணை அல்லது பஞ்சகவ்யம் தெளிக்கவும்.
white spots leaf,🍃 வெள்ளை புள்ளிகள் இருந்தால் பூஞ்சை நோய் இருக்கலாம்.
tomato disease,🍅 தக்காளி நோய்க்கு வேப்பெண்ணை அல்லது பஞ்சகவ்யம் பயன்படுத்தவும்.
chilli disease,🌶️ மிளகாய் நோய்க்கு கோமியம் தெளிக்கலாம்.
rice disease,🌾 நெல் நோய்க்கு நீம் ஆயில் நல்ல தீர்வு.
cow dung,🌾 மாட்டுச் சாணம் சிறந்த இயற்கை உரம்.
vermicompost,🌱 வெர்மி கம்போஸ்ட் மண்ணின் வளத்தை அதிகரிக்கும்.
panchagavya,🌿 பஞ்சகவ்யம் பயிர் வளர்ச்சிக்கு உதவும்.
neem oil,🌳 வேப்பெண்ணை பூச்சி கட்டுப்பாட்டுக்கு பயன்படும்.
gomiyam,🌿 கோமியம் இயற்கை பூச்சிக்கொல்லி.
fertilizer recommendation,"🌾 இயற்கை உரமாக மாட்டுச் சாணம், வெர்மி கம்போஸ்ட் பயன்படுத்தவும்."
organic fertilizer,🌱 இயற்கை உரங்கள் மண்ணின் ஆரோக்கியத்தை பாதுகாக்கும்.
how to increase yield,🌾 சரியான உரம் மற்றும் நீர் மேலாண்மை மூலம் விளைச்சல் அதிகரிக்கலாம்.
how to control pest,🐛 பூச்சிகளை கட்டுப்படுத்த வேப்பெண்ணை அல்லது கோமியம் பயன்படுத்தலாம்.
default,"🤖 தயவுசெய்து மண், பயிர் அல்லது நோய் பற்றிய விவசாய கேள்வியை கேளுங்கள்."
